gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000030168.13	Adipor2	2459.77137053929	2.07938068574152	0.10988140015253	18.9238641194512	7.25363350820943e-80	1.12889443598817e-77
ENSMUSG00000031298.15	Adgrg2	2017.88596041459	-1.94584957384306	0.10296054381884	-18.89898306352	1.16271991909286e-79	1.79605519442561e-77
ENSMUSG00000042367.12	Gjb3	553.080328161449	3.16410118243066	0.16800120478516	18.8338005461147	3.99066044391855e-79	6.11871707619778e-77
ENSMUSG00000026450.14	Chit1	360.230256101526	6.9844654032309	0.371521547849704	18.7996239885833	7.6053607588891e-79	1.15752472314886e-76
ENSMUSG00000025085.16	Ablim1	1483.57751483104	2.08915923443847	0.111196727027255	18.7879561772209	9.47591319566253e-79	1.43169289954028e-76
ENSMUSG00000028111.4	Ctsk	1459.19675496755	-1.73637377676054	0.0927277141942394	-18.7255104026754	3.06717627168717e-78	4.60054214838064e-76
ENSMUSG00000098678.1	Mroh6	271.528321610143	5.95347758076882	0.318464084796319	18.6943453437662	5.50419029931181e-78	8.19649172701116e-76
ENSMUSG00000023092.16	Fhl1	1708.90178798412	-1.72001893145391	0.0920507269901204	-18.6855551030957	6.49002575678111e-78	9.59550308140086e-76
ENSMUSG00000036473.16	Tbc1d24	1508.73627767607	1.84283561648283	0.0989505879795704	18.6237965242137	2.0607284565904e-77	3.02517860446558e-75
ENSMUSG00000033361.13	Prrg3	591.332288584203	2.39740521171405	0.129049396850129	18.5774228336631	4.89452570771204e-77	7.13463293126278e-75
ENSMUSG00000027544.16	Nfatc2	366.691275928139	7.09811793661082	0.382678142114959	18.5485324491789	8.38090898245207e-77	1.21312192327116e-74
ENSMUSG00000087166.9	L1td1	1534.22575700347	10.3636537943283	0.563652228416346	18.3866101681995	1.6817161059287e-75	2.41735011643181e-73
ENSMUSG00000047501.3	Cldn4	1467.3019243397	10.3008428982397	0.560723821532851	18.3706175886736	2.25827512602732e-75	3.22372667818204e-73
ENSMUSG00000006342.15	Susd2	315.336946140402	3.44394507838112	0.188657998789508	18.254964541544	1.88933445878181e-74	2.67858451796745e-72
ENSMUSG00000039621.13	Prex1	362.299917790833	3.68040567909388	0.202679102818887	18.1587821729341	1.0942520825122e-73	1.54081114666123e-71
ENSMUSG00000014846.12	Tppp3	536.262854556877	3.64863017566288	0.201367671750073	18.1192449808496	2.24656726167797e-73	3.12091917781694e-71
ENSMUSG00000031803.8	B3gnt3	248.342995587088	5.61201042704787	0.309722046134694	18.119505850763	2.23594124686265e-73	3.12091917781694e-71
ENSMUSG00000028581.17	Laptm5	355.679522296436	7.14765685739715	0.395196069092304	18.0863561568668	4.08200818887888e-73	5.6328991667736e-71
ENSMUSG00000051375.15	Pcdh1	329.060771024983	2.84661528047094	0.157396497932789	18.085632894364	4.13591978009143e-73	5.66949692239155e-71
ENSMUSG00000000120.6	Ngfr	241.291286630997	5.29949357979908	0.293051784751123	18.0838126759737	4.27475986853147e-73	5.82126674465349e-71
ENSMUSG00000021895.10	Arhgef3	538.306374254515	2.5300161471683	0.140235721408929	18.041167555239	9.25673803914014e-73	1.25232170373962e-70
ENSMUSG00000020173.17	Cobl	709.361435701376	2.19420829481294	0.121875562861427	18.0036772204102	1.82303167279759e-72	2.45032029839203e-70
ENSMUSG00000024529.14	Lox	35424.1771115272	-1.57570030657085	0.0876202370820742	-17.9832919773418	2.63380207386906e-72	3.51723026625907e-70
ENSMUSG00000020782.18	Llgl2	808.78189422471	3.29939748416096	0.183915717994553	17.939725435858	5.77397074371777e-72	7.66124489898809e-70
ENSMUSG00000051076.8	Vtcn1	216.448934047454	4.73909441242476	0.264178906694844	17.9389583813326	5.85422114482299e-72	7.71824990297396e-70
ENSMUSG00000011179.8	Odc1	2561.83660697232	1.53478303002471	0.085605389575015	17.9285794696349	7.05594948728378e-72	9.24374040742323e-70
